sentiment	text
neg	"@jamielewislewis i cant believe it, it really doesnt belong there! i hope it doesnt ruin it  im not too bad thanks!hows life treatin you?x"
neg	Had a dream about a walk in fast food resturaunt that sold ice cream and guitar strings.They were sold out of 12gauge 
neg	hates @internet @explrer (angry)(angry) **but no choice**  http://plurk.com/p/rqqi5
neg	@federalcase  I said I go out for eat 5:negneg p.m.  I disappointed you.
neg	@babykates7 yeah they won't do the surgery till the cold is gone...poor thing still has runny eyes 
neg	"Am in the place called negUT OF NOW WHERE!! Take me out from here, somebody  http://myloc.me/1XRI"
neg	"3am, still up.. flying to LA ltr 8am..hayyy sleep deprived again "
neg	"2 down, 8 to go...looks like i wont be getting out early "
neg	It's Increible How Someone Forgot U Soo Fast! 
neg	"That little girl holly!  find some time! Aw, she'll get loads of votes now I bet!"
neg	Aapko huyi asuvidha ke liye hume khed hay Train 3neg minutes late 
neg	"@brightondoll ugh, me too. 3:pos5 and going strong! I just spent like, 3 hours playing rollercoaster tycoon but now I'm bored again. "
neg	Will be back when I think everyone is up 
neg	@carposdave sinus infection.    the whole left side of my face hurts.
neg	@twilighterNY I've seen the pics but only on my phone. I wanna be on my COMPUTER. im in rehab 
neg	"@Streyeder I wish I had time or extracurricular workout, but I've barely been to d gym pos times in last 1neg days "
neg	"@YukiB Iknow, I am just jealous and hate to be cold in June "
neg	@Velf79 Missed you last night hon 
neg	@carolemoyes @trimmtrab real tea makes me poorly  i drink fruit tea or coffee x
neg	@Jzakoni i will twitter about it. i dont have much friends though  im not ::sigh:: popular 
neg	"Going to get fertilizer, instead of a movie.   Oh the joys of farm life! Can I get an amen Travis?"
neg	i want to apply for a job to write at cracked but i don't think i'm funny enough. weird maybe but not funny 
neg	going to bed soon 
neg	@houstondogshow way bummed that I'll be out of town for this years show! 
neg	Broke a personal record of waking up&amp;leaving for work.All under posnegmins.Not sure I could do it on daily basis.Had miss salat though 
neg	@CoolGuyGreg I am lost. Please help me find a good home. 
neg	@makavellirayne nah the lights killed the mood now you got to get out my bed 
neg	So sorry to hear about the passing of Ed McMahon 
neg	"I am so jealous of everyone who is leaving for Camp today. That should have been me!  Hope you all have fun, I will be praying for you!"
neg	"@KsanaC about what? I have no time to breath, so... "
neg	@unbekkant its suppose to say you can go ahead and start if you want  
neg	I have something in my eye! How annoying 
neg	"is still getting the odd cramp from sundays 7neg mile cycle, much swearing involved "
neg	Owh maybe not  shoot has been re arranged to the 3negth. NEXT week will be my first ahhhaaa.
neg	"Had a lovely afternoon transplanting lettuce and tending the garden!  Forgot, however, to pick up my raw milk for the week "
neg	@929perthmusic I'd prefer Tamiflu to be honest.  But maybe it's just me 
neg	"@nawtyuh I know this is lame, but I tried to use the aging cheat, and it wouldnt work for me.  I can't have my sims get old!!"
neg	i need mcfly's new cd! i couldn't find it that time  it was sold out.
neg	@eddieizzard i'm from los angeles and never heard that one! any chance on you coming back to l.a.?  missed your show   thx ... Sky
neg	needs more followers  tell your freinds ;)
neg	@sweet19 when was the stream party? awww...  too bad i didnt able to join...
neg	its nights like this i wish i had a dude to come home to  and cure the lonely nights...SMH! O well! im over it! lol
neg	Morale is low. We are running low on snus and Kolonopin. Forge the river Y/N ... N 
neg	Had a busy day and have sore feet. 
neg	the fergie room has now been renamed to the gaga room. 
neg	just decided as a spy I seriously suck 
neg	@CatBud It is now raining 
neg	Looks like rain. 
neg	@rentan the fever and chills are gone....but this nasty cough is annoying me to no end!! 
neg	@jakfury take pearla for a walk  she'll be sad if you don't.
neg	exhausted 
neg	"maybe, hopefully, im overreacting. in that case, i am reminded of how humanly flawed i am "
neg	I'm sooo lost without my car  This is truly depressing. Pregnant people should NEVER be this stressed out!
neg	@iBrittanyAlexis I'm not graduating either 
neg	Dh-last time together 
neg	@CreateandInvent sad and scary. 
neg	doesn't want to go back to work tomorrow 
neg	watching the prince of egypt  and studying microbio 
neg	"dont forget @ddlovato, family portrait @pink, because of you @kellyclarkson and even the climb @mileycyrus have the power to make me cry! "
neg	i spent £15 on the game thing in the pub  they are so bloody adictive
neg	yo theze Jersey cop are really getin it popin today they are pullin everybdy over  
neg	isn't lady-like enough to manage acrylic nails 
neg	@obliterated Poor your Mum.    But it's best for Sooty.
neg	"I just said goodbye to some friends  Hope I'll see them again. Tomorrow, Sweden!"
neg	i soooo want to get a Nikon D 9neg  damn y do they cost soooo much!
neg	going to bed! Missing my baby! Wish he was with me! 
neg	Penzance. Journey from hell. Low light coming about 1negpm as light got low and I realised my headlights weren't working 
neg	#github down 
neg	@aidadoll  lmaooo i cant ur pic not workin for me 
neg	@fwkshpos28 im falling asleep cuz im so tired  lets switch
neg	Sigh. Looks like we'll be putting a whole new A/C. 
neg	OMFG I AM COMPLETELY RETARDED. 
neg	"@orrh Ah, eugenics. The saddest thing is... it's still around . "
neg	@dressjunkie about 6 weeks premature wee soul.  
neg	"The thunder never came  Was up at pos am, but there was nothing."
neg	I still haven't put the songs on my ipod. I don't know how. Stupid itunes! Aren't I supposed to sync them? Cause it won't let me sync. 
neg	Poo.  Looks like FL sis offline again.  
neg	Left my fucken shorts at work no gym today 
neg	I'm at hooters will my boys...I miss working here 
neg	Gonna shut down the PC nao. Be back tomorrow. Aww  Last week of summer. 
neg	@fionaflaherty Fi?? something wrong??  x
neg	My body hates me  excruciating pain. Last night in Newark and I'm sober hmm
neg	@leannenufc I've decided i hate these fixtures too. They're terrible...!! 
neg	i bought the sims 3!! when i went to install it my video card was not compatible  i have and nvidia geforce2  mx 1negneg/2negneg 
neg	Tell me Comedian what are you protecting society from? I shall tell you bloody TWILIGHT FANS 
neg	Listening to my brothers band &quot;tweety was delicious&quot;... pretty good. It's a shame they don't exist anymore 
neg	@Malifaxis it always ends in tears.   
neg	@Jasmine1993 hahah thatsss sickk.. hahha i really dont wanna miss origin ay 
neg	 wish i was going to Arizona.
neg	"@SzF_Stylist Honey! Im bored with twitter, few friends use it so its not that exciting  Hows things goining with the exams ? Good luck!!"
neg	"I gave up in updating about my msia klg trip. And I have got a large number of pictures to upload too. One word to describe, L-A-Z-Y. "
neg	@anastaciakayray    That stinks!  Well hopefully you'll get better from you're womanly stuff including hip pain  
neg	I think she jus shit her self  sad mouse
neg	"HOME ALONE! Woop, woop! Then I was shuffled a sad song, now I'm depressed  Damn you iTunes."
neg	@OlafurArnalds It�s over.  But  &quot;Lj�si�&quot; is a nice song to end something beautiful.
neg	okay you all got it 
neg	playing at graduation today. then heather and justins party. i can't believe they're leaving! 
neg	"Been in the office for ages, more than 3negneg emails cleared. Was wondering what felt wrong, then realised haven't had tea yet "
neg	"Gonna try out for Baybeats Photographer thing, doubt I'll make it though "
neg	@KDBabylon where the heck is my friend? Lol what u doin? Haven't talked to u all day! 
neg	"The porkfloss bun here is nothing like the one I love from Bread Story back home. For this, and many other reasons, I miss home. "
neg	@brittanydailey It's making me depressed 
neg	My stuff is missing in my OWN room! Who could have done that~ Pls return it to me...Pls~ 
neg	i cant hear anything outta my left ear 
neg	My jaw is swollen from taking a ball to the chin  We lost the last game. Time to freshen up &amp; have a pitcher of margarita @ La pinta!
neg	Its hard to look at my cat's bed...I miss him already and hope he is done soon   Am I dumb for being this crazy over his dental visit???
neg	is coughing like a dog. arf arf. 
neg	"i failed at my attempt to beat my record. i beat 99 characters in survival mode, and the 1negneg character Ultimate Rugal defeated me "
neg	"Because of the strong rain and few public vehicles and I have to be in office tomorrow early AM, decided to sleep in the office tonight "
neg	@foolest  let's all hang soon! the starting of my class got moved to june 22
neg	@AmazingPhil WARNING I went to see drag me to hell and I really didn't like it 
neg	suffering a serious headache and trying to type up exam this is not good 
neg	it's raining! and it's cold! and I wanna sleep! and other things too. shoot! I want my beeeed... 
neg	In need of stimulation and entertainment 
neg	No Ask Erin Live today Tweeps... I'm sick and doing quiet projects from bed.  Sometimes I wish I could take a &quot;sick day&quot; but clients await
neg	poor Noie just fell on her skateboard and scraped up her elbow  im the worst sister ever i was like &quot;it'll make a cool scar&quot; haha
neg	@iimaBarbiie OMFG tay tay im not evenn ya friendd no moreeee  im dumm mad u seddd thatt on thiss fuckkinq shit u dumm lil stupid bitch lol
neg	"I thought a fry-up would be a good idea but after the biggest fry-up ever, I think I over did it - suddenly feeling hungover "
neg	@toneloc8neg11 aww u wonley???? 
neg	@lindalopez srry I never got back to u! 
neg	"Was at work &amp; took care of cells early this morning. But, son has a fever, so I'm home the rest of the day taking care of him.  He's ok."
neg	@armmer I'm basically dead in the water. I've wasted 3 days on this thing when I could've been coding FUbuMVC 
neg	@TaLisaDuhhh i miss bein 18 
neg	Sad that today was my last day of work at Harding School 
neg	@captain_erika Me grumpy because it rainy out and me no know what to do. Me want to play but me tired of playing trucks and coloring. 
neg	@The_Reaper man! tweetdeck is aaaargh! im starting to hate it 
neg	June Gloom is back 
neg	@sigitt - Maybe  *sighs* TweetDeck acting funky too.
neg	Came back from jog.. Sore 
neg	"&quot;im so sick, infected with...&quot; all this food i ate. my fatty stomach is about to burst! "
neg	@xkot fuck i want a Broccolator so badly now  http://tinyurl.com/cb2epos6
neg	"GRRRRRRR! The puppy started whining again, and won't shut up. I'm never going to sleep again... "
neg	@maldenic The hobbling one. 
neg	@MarieLuv I need to get my butt to vegas cuz I never been 
neg	@animalfinders I am lost. Please help me find a good home. 
neg	"@davearthur Thanks David. I read about your Zpos, sorry  No help from londonfgss then? "
neg	"morning. planning for today: do nothing till 5 pm, 5pm-2am: work  blegh"
neg	is still feeling the dizziness from the accident 
neg	@CrystalF  .... or yea by that too ... i shall be Mac Book Front Row
neg	Must quit working pos 2night. Need rest. Going 2 watch The Bachelorette &amp; eat peanut butter &amp; honey toast. Ps. I'm not a fan of healthy PB. 
neg	Chips &amp; guac at Club de Capitanes. Wasting time bpos heading to the bus station - just said bye to &quot;Chemistry&quot; (my boat) for the summer. 
neg	@Uwila @tehgeekgirl bring me some magic pancakes please! I'm here at work! 
neg	@MM_Oporto and @Miaakoch just left my house 
neg	"exam tomorrow..  dammit, i just want a vacation :/"
neg	Izzy: Morning! Just woken up and currently stuffing my face with toast (:. I have loads of work to do today  xx
neg	Off to Wichita for a wedding tonight. The next five extended family events will probably all be funerals 
neg	@nicoleneg83 ugh. Ur no help 
neg	Going back to NJ today.  
neg	@SpeedyG1212 I think it's supposed to rain all weekend! 
neg	I'm sooo confused! Isn't marriage supposed to be a positive thing? He's so mean and bossy! I really wish I had my friends here.  
neg	"Waiting For the Floor To Dry,Just Finish Moping!! RestLess  #fb"
neg	@mcclorybrin why u so bummed out ?! 
neg	@David_Henrie My 1negneg$ calculator just broke and my math final is 2moro  i think you tweeting me back would make it much better!
neg	i think u all know what happened i had to many tweets  if i get too many tweets on here then i'll get mad
neg	lost $1neg at mahjong today 
neg	@ReginaPearl DID IT WORK FOR U?  NOT FOR ME 
neg	feels like drinking a good burgundy.... 
neg	@xSmotherMe I don't want to write mine either.  it's a 2neg page term paper. i have 5 done.
neg	ahhhh! @uabblazer11 just ran over turtle! 
neg	@AnneAAM   do NF tweets count?
neg	"@jessomine Sorry!   These are PDFs, folks - apologies for not so stating earlier:  http://tinyurl.com/SpayNeuterEff  &amp; http://bit.ly/Ftv9neg"
neg	i dont know what i am going to do. 
neg	@Don_J i'm good thanx. u? gonna head to bed 
neg	"You feel me too, @finalmidday. "
neg	at the zoo! flamingos smell like urine 
neg	"@bookladysblog I was supposed to be reading it tonight, but I got behind in reviews "
neg	@Islandfire did you forget about me?  its my birthday too!! lol
neg	GO to the website www.3dl.am and than download the all songs videos for free REALLY i dont lie but the website is on german 
neg	leaving camp  it was an amazing week! &amp; its juust the beginning of an amazing summer. now for some taco bell...
neg	Police? Where?  K!nG
neg	@DenyceLawton Thank you for not reacting...   
neg	just gtting startd on this wha do ya do 
neg	"@geoffgirardin I actually followed an ad on Facebook, believe it or not. Totally forgot what the store was called, though "
neg	I meant sick 
neg	"Damn you pollen, damn you to hell!!! My throat hurts   I'm consoling myself with pocket tv. Matt edmundson has really nice hair."
neg	It's literally raining on the pride parade. 
neg	"@anthonystonem He's not like that... ok, he is.  But he's intelligent, too. And funny."
neg	@cantlivewithout is this season's past eppies for SYTYCD anywhere online? this is killing me missing them. 
neg	Lost with pos.7 seconds remaining   Better luck next season!!
neg	"still has the unwanted guest issue...they're SUPPOSEDLY leaving tomorrow, but for how long?  They only live in Kingston Springs "
neg	@DMSocialClub send some over... i ran out 
neg	@dyellagurl I miss u and bbm  I am out of the loop
neg	@CarlosSP Sent wednesday 
neg	"Basic business principle from ages past: captive audiences represent profit. So consumers, - bring packed lunches or accept the hit. "
neg	@iphoneincanada &amp; @allthingsconnor sorry for your loss tonight guys 
neg	"work, work, work "
neg	One of my students broke one of my nails today  It hurt soooooooo  bad!!!
neg	omg my phone jus broke   and i bet its not insured
neg	"I should go to bed ... it's blimmen cold here, and my heater gave up the ghost yesterday. "
neg	"My MOH bailed out, and my sister let me down.. wait.. thats the same event..  I love my little man.. he takes such good care of his mommy!"
neg	Bored at work  HELP ME!!!!
neg	im bored while watchin nascar 
neg	gutted hatton lost!!! 
neg	@Courtney_J_ I wish I had a cat to lay on me when I got home 
neg	Love sucks  But this on the other hand: http://lookbook.nu/look/169521-ramtarammtamtamdamt   really cool **
neg	didn't see any celebs though  boo.
neg	traveling for next 3 weeks - I will be in way too many time zones for my brain and body to handle 
neg	@MrMessyFace It's Saturday evening here. I don't wanna wake up in the middle of the night to post. Turn updates off for me til you get up 
neg	Another week of school  weekend went SO FAST
neg	is feeling rather sad 
neg	"@Katieee_b Great thanks, I'll check that out. So tired  Just want to have my notes finito by tomorrow so I can wake up &amp; practice Qs!"
neg	bad bad nightmare type situation..... screamed bloody murder. Not cooool 
neg	@chandlergrace   that sucks!  Hope you all are doing well.
neg	 more storms. God keep us safe Refinnyj &lt;&gt; Mat123pos
neg	cbfked signing into msn lol!  My hands hurt 
neg	@mumphlett I tried to fix it...to no avail  
neg	"very interesting tutorials vith Ollie Chanarin and Peter Fraser... and Elephant project handed in! yeah... now, citpj "
neg	"Ah i hate stupid drama. Sometimes i wish no of us ever got together so we wouldnt hurt each other  stupid!...other than that, great da ..."
neg	@Missdblue Good one girl - didn't see you in there though  What were you doing?
neg	Sunday night on my own (TCs off to Budapest) and everyone's busy or too far away! Agh. 
neg	@KaoBayBay boutta be on my way home...Im sleepy 
neg	"I've bought me just a 2negm long LAN-Cable and my PC doesn't accept it, but the PC from my brother accept it "
neg	@djcure Missed u today 
neg	"I had to take Benadryl last night and I couldn't get up this morning wtf  I feel terrible today, like cement."
neg	baby kitty died   crappy day .x
neg	"@Awissneg8 Hey girl, I have to apologize if I made you feel bad, your Uncle didn't let me in on ALL the details about your Graduation. "
neg	"@ROBBIEEEEE yeah,but she doesn't have TYRA eyes so its not as good "
neg	@april_miss how come you didnt get to enjoy your cute girl?! 
neg	@BUGZY9 no..  but i know im someones treasure!!!
neg	Steve Jobs called &quot;perishable asset&quot; pos Apple by NPR. Cold way 2 refer 2 some1 who's been so sick  http://myloc.me/5Amf
neg	@_JPeep_ everything on my itunes is gone 
neg	"@nessalie she was upset, I think its a sign we would not work out... "
neg	I broke my keyboard. 
neg	This weather is amazing....shame about the revision 
neg	@RuthFor yey! at the moment i'd be happy wit satisfactory with the head i've got 
neg	Omggg! the awards have been going on for everrr. this is a longg day. it ends at 11 tonight  im gonna be crabby tomm.
